1,1,1,1,1,1,2,9,-1,2,-1,-1,-1,-1,2,-1
6,6,6,6,6,6,7,7,7,7,-1,-1,-1,-1,2,-1
-1,2,-1,-1,-1,2,-1,-1,2,-1,10,10,10,-1,2,-1
-1,2,-1,-1,-1,6,-1,-1,6,-1,7,7,7,-1610612726,2,-1
-1,2,10,-1,-1,1,-1610612726,-1,1,-1,-1,-1,6,-1,2,-1
-1,2,6,10,0,1,-1610612726,0,1,0,6,-1,-1,-1,6,-1
-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
-1,-1,-1,-1,-1073741814,-1,-1,-1073741814,-1,-1,-1073741814,-1,-1,-1073741814,-1073741814,-1073741814
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,3,-1
10,6,10,10,6,10,10,6,10,10,6,10,6,6,6,6
