-1073741814,-1073741814,-1,-1,-1,-1,2,-1,-1,2,-1,1610612746,1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,9,-1,2,-1,-1,1,4,6,-1
-1,4,-1,-1,4,-1,7,7,7,7,-1,-1,1,-1,1,-1
-1,-1,-1,10,10,10,10,10,10,10,-1,-1,6,4,1,-1
-1,-1,1610612746,7,7,7,6,6,6,6,-1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,1610612746,6,1,1,6,-1,4,-1,4,1,-1
-1,4,-1,-1,-1,1610612746,6,1,1,6,10,10,10,10,1,-1
10,10,10,-1,-1,-1,6,6,6,6,7,7,7,7,7,-1
6,6,6,-1,-1,-1,2,-1,-1,2,-1,-1,1,-1,-1,-1
1,1,1,-1,-1,-1,2,-1,-1,2,-1,-1,6,-1,6,-1
1,1,1,-1,4,-1,2,-1,3,2,-1,-1,-1,-1,1,-1
1,1,1,10,10,10,6,6,6,6,4,4,4,4,1,4
