3,-1,-1,2,1,1,1,-1,-1,6,6,6,6,-1,-1,-1
7,7,-1,2,1,1,1,-1,-1,2,-1,-1,2,-1,-1,-1
2,-1,-1,2,1,1,1,-1,-1,2,-1,-1,2,-1,-1,-1
2,-1,-1,7,6,6,6,-1,-1,2,10,-1,2,10,-1,-1
2,-1,-1,2,-1,-1,2,-1,-1,7,7,7,7,7,7,-1
7,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1
-1,-1,-1,7,7,7,7,-1,-1,2,-1,-1,-1,2,-1,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,10,-1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,-1,-1
-1,9,-1,-1,6,6,6,-1,-1,2,-1,-1,-1,2,-1,6
6,6,6,-1,1,1,1,-1,-1,2,-1,-1,-1,2,-1,1
1,1,1,10,1,1,1,10,10,6,6,6,6,6,6,1
