2,3,-1,2,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1
7,7,7,7,-1,-1,-1,7,7,7,5,7,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,1,1,1,1
-1,-1,-1,-1,10,0,-1,-1,-1,-1,-1,-1,6,6,6,6
-1,-1,-1,1610612746,6,6,-1610612726,10,-1,-1,4,-1,2,-1,-1,2
-1,-1,-1,1610612746,6,-1610612726,1610612746,6,-1610612726,-1,-1,-1,2,-1,-1,2
9,-1,-1,-1,-1073741814,-1,-1,-1073741814,-1,-1,10,10,7,7,5,7
6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1073741814,-1073741814,-1073741814,-1073741814,5,-1
1,1,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,5,-1
1,1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,5,-1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,5,-1
1,1,10,10,10,10,10,10,10,10,6,6,6,6,6,6
